NEAQ ID,Name of Whale,Broken,PB,L Lip,R Lip,Full Head Options,Left Head Options,Right Head Options,Sig Features,whaleimage,tailimage,lefthead,righthead
1017,Batman,N,1,N,Y,C 2 pen R for,C 1 or 2 pen,C 1 pen,,1017-Batman.jpg,1017-Batman_T.jpg,1017-Batman-left.jpg,1017-Batman-right.jpg
1036,Peace,N,2,Y,Y,C 4 asym,C 2 pen,C 2 pen or C isl,,1036-Peace.jpg,no_tail.jpg,left-nohead.jpg,right-nohead.jpg
1042,,Y,2,N,N,,B no isl,B 1 isl,,1042.jpg,1042_T.jpg,1042-left.jpg,1042-right.jpg
1042,,Y,2,N,N,,B no isl,B no isl,,1042b.jpg,1042_T.jpg,1042-left.jpg,1042-right.jpg
1112,Javelin,N,2,Y,Y,C 2 pen R for,C 1 pen,C 0 or 1 pen,back - long line scar right,1112-Javelin.jpg,1112-Javelin_T.jpg,1112-Javelin-left.jpg,1112-Javelin-right.jpg
1112,Javelin,Y,2,Y,Y,,B no isl,B no isl,back - long line scar right,1112-Javelin.jpg,1112-Javelin_T.jpg,1112-Javelin-left.jpg,1112-Javelin-right.jpg
1142,Kleenex,Y,2,N,N,,B no isl,B no isl,,1142-Kleenex.jpg,1142-Kleenex_T.jpg,1142-Kleenex-left.jpg,1142-Kleenex-right.jpg
1149,Cream,N,2,Y,Y,,C no pen,C no pen,,1149-Cream.jpg,1149-Cream_T.jpg,1149-Cream-left.jpg,1149-Cream-right.jpg
1208,,Y,2,Y,Y,,B long coam w isl,B long coam w isl,,1208.jpg,1208_T.jpg,1208-left.jpg,1208-right.jpg
1209,EL,Y,2,Y,Y,,B 2 isl,B 1 isl,,1209-EL.jpg,1209-EL_T.jpg,1209-EL-left.jpg,1209-EL-right.jpg
1227,Sliver,Y,2,N,N,,B long coam w isl,B long coam w isl,,1227-Sliver.jpg,1227-Sliver_T.jpg,1227-Sliver-left.jpg,1227-Sliver-right.jpg
1245,Slalom,N,1,Y,Y,,C isl,C isl,2022 mom,1245-Slalom.jpg,1245-Slalom_T.jpg,1245-Slalom-left.jpg,1245-Slalom-right.jpg
1249,Lacrosse,N,2,Y,Y,,C 1 pen,C 2 pen,,1249-Lacrosse.jpg,1249-Lacrosse_T.jpg,1249-Lacrosse-left.jpg,1249-Lacrosse-right.jpg
1271,Dropcloth,Y,2,Y,Y,,B long coam,B long coam,back - long line scar right,1271-Dropcloth.jpg,1271-Dropcloth_T.jpg,1271-Dropcloth-left.jpg,1271-Dropcloth-right.jpg
1271,Dropcloth,N,2,Y,Y,,C 1 pen,C 1 pen,back - long line scar right,1271b-Dropcloth.jpg,1271-Dropcloth_T.jpg,left-nohead.jpg,right-nohead.jpg
1307,,Y,2,N,N,B 2 isl R for,B 1 isl,B 1 isl,,1307.jpg,1307_T.jpg,1307-left.jpg,1307-right.jpg
1317,Ergo,N,2,N,N,C 4 asym,C 2 pen or C isl,C 2 pen,back - 3 divot scars,1317-Ergo.jpg,1317-Ergo_T.jpg,1317-Ergo-left.jpg,1317-Ergo-right.jpg
1317,Ergo,Y,2,N,N,B any 4 asym,B long coam w isl,B long coam w isl,back - 3 divot scars,1317-Ergo2.jpg,1317-Ergo_T.jpg,1317-Ergo-left.jpg,1317-Ergo-right.jpg
1331,Trellis,N,2,N,Y,,C 1 pen,C 1 pen,back - large prop scar,1331-Trellis.jpg,1331-Trellis_T.jpg,1331-Trellis-left.jpg,1331-Trellis-right.jpg
1403,Meridian,Y,2,N,N,,B 1 isl,B 2 isl,callosity - scar,1403-Meridian.jpg,1403-Meridian_T.jpg,1403-Meridian-left.jpg,1403-Meridian-right.jpg
1419,,Y,2,N,N,B 2 isl L for,B 1 isl,B 1 isl,,1419.jpg,1419_T.jpg,1419-left.jpg,1419-right.jpg
1423,Old Blunt Tips,Y,2,N,N,B 1 sym isl,B 1 isl,B 1 isl,,1423-Old Blunt Tips.jpg,1423-Old Blunt Tips_T.jpg,left-nohead.jpg,1423-Old Blunt Tips-right.jpg
1427,,N,2,Y,Y,,C 1 pen,C 2 pen,,1427.jpg,1427_T.jpg,1427-left.jpg,1427-right.jpg
1429,Scarf,Y,2,N,N,,B 1 isl,B 2 isl,,1429-Scarf.jpg,1429-Scarf_T.jpg,1429-Scarf-left.jpg,1429-Scarf-right.jpg
1506,,N,2,Y,Y,C 1 sym,C 1 pen,C 1 pen,,1506.jpg,1506_T.jpg,1506-left.jpg,1506-right.jpg
1507,Manta,N,1,N,Y,C 2 pen L for,C 1 or 2 pen,C 1 pen,,1507-Manta.jpg,1507-Manta_T.jpg,1507-Manta-left.jpg,1507-Manta-right.jpg
1604,,N,2,Y,Y,C 4 asym,C 2 pen,C 2 pen,,1604.jpg,1604_T.jpg,1604-left.jpg,1604-right.jpg
1616,Owl,N,1,N,N,,C 2 pen or dbl,C 2 pen or C isl,,1616-Owl.jpg,1616-Owl_T.jpg,1616-Owl-left.jpg,1616-Owl-right.jpg
1628,Peregrine,N,2,Y,Y,C 2 pen R for,C 1 pen,C 1 pen,,1628-Peregrine.jpg,1628-Peregrine_T.jpg,1628-Peregrine-left.jpg,1628-Peregrine-right.jpg
1701,Aphrodite,Y,4,N,N,B 1 sym isl,B 1 isl,B 1 isl,pbh - scar behind left,1701-Aphrodite.jpg,1701-Aphrodite_T.jpg,1701-Aphrodite-left.jpg,1701-Aphrodite-right.jpg
1703,Wolf,Y,3,N,N,B 2 isl L for,B 1 isl,B 1 isl,,1703-Wolf.jpg,1703-Wolf_T.jpg,1703-Wolf-left.jpg,1703-Wolf-right.jpg
1703,Wolf,Y,3,N,N,B 2 isl L for,B 1 isl,B 1 isl,,1703b-Wolf.jpg,1703-Wolf_T.jpg,1703-Wolf-left.jpg,1703-Wolf-right.jpg
1708,,Y,2,N,N,,B 1 isl,B no isl,,1708.jpg,1708_T.jpg,left-nohead.jpg,right-nohead.jpg
1708,,Y,2,N,N,,B 1 isl,B 1 isl,,1708b.jpg,1708_T.jpg,left-nohead.jpg,right-nohead.jpg
1720,Galileo,Y,1,N,N,B 2 isl R for,B long coam w isl,B long coam no isl,,1720-Galileo.jpg,1720-Galileo_T.jpg,1720-Galileo-left.jpg,1720-Galileo-right.jpg
1801,Sparky,Y,2,Y,Y,,B long coam w isl,B long coam w isl,,1801-Sparky.jpg,1801-Sparky_T.jpg,1801-Sparky-left.jpg,1801-Sparky-right.jpg
1812,War,Y,2,Y,Y,,B no isl,B no isl,,1812-War.jpg,1812-War_T.jpg,1812-War-left.jpg,1812-War-right.jpg
1817,Silt,N,2,N,N,,C 1 pen,C 2 pen,2022 mom,1817-Silt.jpg,1817-Silt_T.jpg,1817-Silt-left.jpg,1817-Silt-right.jpg
1817,Silt,Y,2,N,N,,B long coam,B long coam,lip - small scar front right,1817-Silt_B.jpg,1817-Silt_T.jpg,1817-Silt-left.jpg,1817-Silt-right.jpg
1820,Cello,N,2,Y,Y,C 1 sym,C 1 pen,C 1 pen,,1820-Cello.jpg,1820-Cello_T.jpg,1820-Cello-left.jpg,1820-Cello-right.jpg
1934,Sagamore,N,1,Y,Y,C any 4 asym,C 2 pen,C 2 pen,back - line scar,1934-Sagamore.jpg,1934-Sagamore_T.jpg,1934-Sagamore-left.jpg,1934-Sagamore-right.jpg
1971,Nantucket,Y,1,N,N,B 2 isl R for,B 1 isl,B 1 isl,callosity - scar,1971-Nantucket.jpg,1971-Nantucket_T.jpg,left-nohead.jpg,right-nohead.jpg
