ID,Name of Whale,Broken,PB,L Lip,R Lip,Full Head Options,Left Head Options,Right Head Options,whaleimage,tailimage
1017,,N,1,N,Y,C 2 pen R for,C 1 or 2 pen,C 1 pen,1017.jpg,1017_T.jpg
1036,Peace,N,2,Y,Y,C 4 asym,C 2 pen,C 2 pen or C isl,1036.jpg,no_tail.jpg
1042,,Y,2,N,N,,B no isl,B no isl,1042.jpg,1042_T.jpg
1112,Javelin,N,2,Y,Y,C 2 pen R for,C 1 pen,C 0 or 1 pen,1112-Javelin.jpg,1112-Javelin_T.jpg
1142,Kleenex,Y,2,N,N,,B no isl,B no isl,1142-Kleenex.jpg,1142-Kleenex_T.jpg
1149,Cream,N,2,Y,Y,,C 0 pen,C 0 pen,1149-Cream.jpg,no_tail.jpg
1209,EL,Y,2,Y,Y,,B 2 isl,B 1 isl,1209-EL.jpg,1209-EL_T.jpg
1227,Sliver,Y,2,N,N,,B long coam w isl,B long coam w isl,1227-Sliver.jpg,1227-Sliver_T.jpg
1245,Slalom,N,1,Y,Y,,C 1 pen or C isl,C 2 pen or C isl,1245-Slalom.jpg,no_tail.jpg
1249,Lacrosse,N,2,Y,Y,,C 1 pen,C 2 pen,1249-Lacrosse.jpg,1249-Lacrosse_T.jpg
1271,Dropcloth,Y,2,Y,Y,,B long coam,B long coam,1271-Dropcloth.jpg,no_tail.jpg
1307,,Y,2,N,N,B 2 isl R for,B 1 isl,B 1 isl,1307.jpg,1307_T.jpg
1317,Ergo,N,2,N,N,C 4 asym,C 2 pen or C isl,C 2 pen,1317-Ergo.jpg,no_tail.jpg
1403,Meridian,Y,2,N,N,,B 1 isl,B 2 isl,1403-Meridian.jpg,1403-Meridian_T.jpg
1419,,Y,2,N,N,B 2 isl L for,B 1 isl,B 1 isl,1419.jpg,no_tail.jpg
1423,Old Blunt Tips,Y,2,N,N,B 1 sym isl,B 1 isl,B 1 isl,1423-Old Blunt Tips.jpg,no_tail.jpg
1427,,N,2,Y,Y,,C 1 pen,C 2 pen,1427.jpg,no_tail.jpg
1429,Scarf,Y,2,N,N,,B 1 isl,B 2 isl,1429-Scarf.jpg,1429-Scarf_T.jpg
1506,,N,2,Y,Y,C 1 sym,C 1 pen,C 1 pen,1506.jpg,no_tail.jpg
1507,Manta,N,1,N,Y,C 2 pen L for,C 1 or 2 pen,C 1 pen,1507-Manta.jpg,1507-Manta_T.jpg
1604,,N,2,Y,Y,C 4 asym,C 2 pen,C 2 pen,1604.jpg,no_tail.jpg
1616,Owl,N,1,N,N,,C 2 pen or dbl,C 2 pen or C isl,1616.jpg,1616_T.jpg
1628,Peregrine,N,2,Y,Y,C 2 pen R for,C 1 pen,C 1 pen,1628-Peregrine.jpg,no_tail.jpg
1701,Aphrodite,Y,4,N,N,B 1 sym isl,B 1 isl,B 1 isl,1701-Aphrodite.jpg,no_tail.jpg
1703,Wolf,Y,3,N,N,B 2 isl L for,B 1 isl,B 1 isl,1703-Wolf.jpg,1703-Wolf_T.jpg
1708,,Y,2,N,N,,B 1 isl,B 1 isl,1708.jpg,1708_T.jpg
1720,,Y,1,N,N,B 2 isl R for,B long coam w isl,B long coam no isl,1720.jpg,1720_T.jpg
1801,Sparky,Y,2,Y,Y,,B long coam w isl,B long coam w isl,1801-Sparky.jpg,no_tail.jpg
1812,War,Y,2,Y,Y,,B no isl,B no isl,1812.jpg,no_tail.jpg
1817,Silt,N,2,N,N,,C 1 pen,C 2 pen or C isl,1817-Silt.jpg,1817-Silt_T.jpg
1817,Silt,Y,2,N,N,,B long coam,B long coam,1817-Silt_B.jpg,1817-Silt_T.jpg
1820,Cello,N,2,Y,Y,C 1 sym,C 1 pen,C 1 pen,1820-Cello.jpg,1820-Cello_T.jpg
1934,Sagamore,N,1,Y,Y,C any 4 asym,C 2 pen,C 2 pen,1934-Sagamore.jpg,1934-Sagamore_T.jpg
1971,Nantucket,Y,1,N,N,B 2 isl R for,B 1 isl,B 1 isl,1971-Nantucket.jpg,1971-Nantucket_T.jpg
2010,Gandalf,N,2,Y,Y,C any 4 asym,C 2 pen,C 2 pen,2010-Gandalf.jpg,2010-Gandalf_T.jpg
2010,Gandalf,Y,2,Y,Y,,B long pen coam,B long pen coam,2010-Gandalf.jpg,2010-Gandalf_T.jpg
