ID,Name of Whale,Broken,PB,L Lip,R Lip,Full Head Options,Left Head Options,Right Head Options,whaleimage
1017,,N,1,N,Y,C 2 pen R for,C 1 or 2 pen,C 1 pen,1017_2019.jpg
1036,Peace,N,2,Y,Y,C 4 asym,C 2 pen,C 2 pen or C isl,1036.jpg
1042,,Y,2,N,N,,B no isl,B no isl,1042_2019.jpg
1112,Javelin,N,2,Y,Y,C 2 pen R for,C 1 pen,C 0 or 1 pen,1112-Javelin_2019.jpg
1142,Kleenex,Y,2,N,N,,B no isl,B no isl,1142-Kleenex.jpg
1149,Cream,N,2,Y,Y,,C 0 pen,C 0 pen,1149-Cream.jpg
1209,EL,Y,2,Y,Y,,B 2 isl,B 1 isl,1209-EL_2019.jpg
1227,Sliver,Y,2,N,N,,B long coam w isl,B long coam w isl,1227-Sliver_2019.jpg
1245,Slalom,N,1,Y,Y,,C 1 pen or C isl,C 2 pen or C isl,1245-Slalom_2019.jpg
1249,Lacrosse,N,2,Y,Y,,C 1 pen,C 2 pen,1249-Lacrosse_2019.jpg
1271,Dropcloth,Y,2,Y,Y,,B long coam,B long coam,1271-Dropcloth_2019.jpg
1307,,Y,2,N,N,B 2 isl R for,B 1 isl,B 1 isl,1307_2019.jpg
1317,Ergo,N,2,N,N,C 4 asym,C 2 pen or C isl,C 2 pen,1317-Ergo.jpg
1403,Meridian,Y,2,N,N,,B 1 isl,B 2 isl,1403-Meridian_2019.jpg
1419,,Y,2,N,N,B 2 isl L for,B 1 isl,B 1 isl,1419_2019.jpg
1423,Old Blunt Tips,Y,2,N,N,B 1 sym isl,B 1 isl,B 1 isl,1423-Old Blunt Tips.jpg
1427,,N,2,Y,Y,,C 1 pen,C 2 pen,1427.jpg
1429,Scarf,Y,2,N,N,,B 1 isl,B 2 isl,1429-Scarf_2019.jpg
1506,,N,2,Y,Y,C 1 sym,C 1 pen,C 1 pen,1506_2019.jpg
1507,Manta,N,1,N,Y,C 2 pen L for,C 1 or 2 pen,C 1 pen,1507-Manta_2019.jpg
1604,,N,2,Y,Y,C 4 asym,C 2 pen,C 2 pen,1604.jpg
1616,Owl,N,1,N,N,,C 2 pen or dbl,C 2 pen or C isl,1616_2019(1).jpg
1616,Owl,N,1,N,N,,C 2 pen or dbl,C 2 pen or C isl,1616_2019.jpg
1628,Peregrine,N,2,Y,Y,C 2 pen R for,C 1 pen,C 1 pen,1628-Peregrine_2019.jpg
1703,Wolf,Y,3,N,N,B 2 isl L for,B 1 isl,B 1 isl,1703-Wolf_2019.jpg
1703,Wolf,Y,3,N,N,B 2 isl L for,B 1 isl,B 1 isl,1703-Wolf_2019(1).jpg
1708,,Y,2,N,N,,B 1 isl,B 1 isl,1708.jpg
1708,,Y,2,N,N,,B 1 isl,B 1 isl,1708_2019.jpg
1720,,Y,1,N,N,B 2 isl R for,B long coam w isl,B long coam no isl,1720_2019.jpg
1801,Sparky,Y,2,Y,Y,,B long coam w isl,B long coam w isl,1801-Sparky_2019.jpg
1812,War,Y,2,Y,Y,,B no isl,B no isl,1812.jpg
1817,Silt,N,2,N,N,,C 1 pen,C 2 pen or C isl,1817-Silt_2019c.jpg
1817,Silt,Y,2,N,N,,B long coam,B long coam,1817-Silt_2019b.jpg
1820,Cello,N,2,Y,Y,C 1 sym,C 1 pen,C 1 pen,1820-Cello_2019.jpg
1934,Sagamore,N,1,Y,Y,C any 4 asym,C 2 pen,C 2 pen,1934-Sagamore_2019.jpg
1971,Nantucket,Y,1,N,N,B 2 isl R for,B 1 isl,B 1 isl,1971-Nantucket_2019.jpg
2010,Gandalf,N,2,Y,Y,C any 4 asym,C 2 pen,C 2 pen,2010_2019.jpg
2040,Naevus,Y,2,N,N,,B long coam w isl,B long coam w isl,2040-Naevus.jpg
2209,,Y,2,N,N,,B 2 isl,B 1 or 2 isl,2209.jpg
2223,Calvin,Y,3,N,N,B 2 isl R for,B 1 isl,B 1 isl,2223-Calvin-2019.jpg
2271,Prescott,N,2,Y,Y,C 1 sym,C 1 pen,C 1 pen,2271-Prescott_2019.jpg
2303,,Y,1,N,N,B 2 isl L for,B 2 isl,B 1 isl,2303_2019.jpg
2340,Swan,N,2,Y,Y,C 2 pen R for,C 1 pen,C 1 pen or dbl,2340_2019.jpg
2427,Cicatrix,N,2,Y,Y,,C isl,C isl,2427-Cicatrix.jpg
2503,Boomerang,Y,1,N,N,,B no isl,B no isl,2503-Boomerang_2019.jpg
2503,Boomerang,Y,4,N,N,,B no isl,B no isl,2503-Boomerang_2019.jpg
2510,Mitosis,Y,2,N,N,B 2 isl R for,B 2 isl,B 1 isl,2510_2019.jpg
2510,Mitosis,Y,4,N,N,B 2 isl R for,B 2 isl,B 1 isl,2510_2019.jpg
2642,Echo,Y,2,N,Y,,B 1 isl,B no isl,2642-Echo-2019.jpg
2642,Echo,Y,2,N,Y,,B 1 isl,B no isl,2642-Echo_2019.jpg
2681,Hyphen,Y,2,N,Y,,B no isl,B no isl,2681-Hyphen_2019.jpg
2681,Hyphen,Y,4,N,Y,,B no isl,B no isl,2681-Hyphen_2019.jpg
2705,Silver,Y,2,Y,N,B 1 sym isl,B 2 isl,B 1 isl,2705-Silver_2019.jpg
2743,,Y,3,Y,Y,,B long coam w isl,B long coam no isl,2743_2019.jpg
2750,Haley,N,2,N,N,,C 1 pen,C 1 or 2 pen,2750 Haley_2019.jpg
2753,Arpeggio,Y,2,Y,Y,,B long pen coam,B long pen coam,2753-Arpeggio_2019.jpg
2760,,Y,2,N,Y,B 2 isl L for,B 1 isl,B 1 isl,2760_2019.jpg
2791,,N,2,Y,Y,,C 1 or 2 pen,C 1 pen,2791-2019.jpg
2904,,N,2,Y,Y,C 2 pen L for,C 1 pen,C 1 pen,2904_2019.jpg
2904,,N,2,Y,Y,C 1 sym,C 1 pen,C 1 pen,2904_2019.jpg
2910,,N,2,N,Y,C 1 sym,C 1 pen,C 1 pen,2910_2019.jpg
2920,,Y,2,Y,Y,,B long coam no isl,B long coam no isl,2920_2019.jpg
2930,Specs,Y,2,N,N,B 1 sym isl,B 1 isl,B 1 isl,2930-Specs.jpg
2930,Specs,Y,2,N,N,B 1 sym isl,B 1 isl,B 1 isl,2930-Specs_2019.jpg
3020,Giza,Y,2,N,N,B 2 isl R for,B 1 isl,B 1 isl,3020-Giza_2019.jpg
3101,Harmonia,N,2,Y,Y,C 1 sym,C 1 or 2 pen,C 1 pen,3101- Harmonia_2019.jpg
3110,,Y,2,N,N,,B 1 pen on coam,B dbl pen on coam,3110_2019.jpg
3115,Harmony,Y,2,N,N,,B long pen coam,B long pen coam,3115-Harmony_2019.jpg
3115,Harmony,Y,3,N,N,,B long pen coam,B long pen coam,3115-Harmony_2019.jpg
3125,,N,2,Y,Y,C any 4 asym,C 1 pen,C 1 or 2 pen,3125.jpg
3125,,N,2,Y,Y,C any 4 asym,C 1 pen,C 1 or 2 pen,3125_2019.jpg
3140,Lou,N,1,Y,Y,C any 4 asym,C 2 pen,C 3 pen or C isl,3140-Lou.jpg
3157,,N,2,Y,Y,,C 1 pen,C 2 pen,3157.jpg
3191,,N,2,Y,Y,,C 1 or 2 pen or C isl,C 1 or 2 pen,3191_2019.jpg
3193,Toothbrush,N,2,Y,Y,C 1 sym,C 1 pen,C 1 pen,3193-Toothbrush_2019.jpg
3194,,Y,2,Y,Y,B 2 isl L for,B 1 isl,B 1 isl,3194-2019.jpg
3230,Infinity,N,2,Y,Y,,C dbl or C isl,C 1 pen or C isl,3230-Infinity_2019.jpg
3229,,N,2,Y,Y,,C 2 pen,C 1 pen,3229_left.jpg
3229,,N,2,Y,Y,,C 2 pen,C 1 pen,3229_right.jpg
3232,Lobster,Y,2,N,N,B 2 isl L for,B 1 isl,B 1 isl,3232-Lobster-2019.jpg
3245,,Y,2,Y,Y,B 2 isl L for,B 1 isl,B 1 isl,3245_2019.jpg
3296,,N,2,Y,Y,C 2 pen R for,C 1 pen,C 1 pen,3296.jpg
3301,Neptune,N,2,N,N,C 2 pen R for,C 1 pen,C 1 pen,3301_Neptune_2019.jpg
3310,,N,2,Y,Y,C 2 pen L for,C 1 or 2 pen,C 1 or 2 pen,3310.jpg
3312,,N,2,Y,Y,C 1 sym,C 1 pen,C 1 pen,3312.jpg
3317,,Y,1,Y,Y,,B long pen coam,B long pen coam,3317_2019.jpg
3333,,Y,2,N,N,,B no isl,B 1 isl,3333_2019.jpg
3351,,N,2,Y,Y,C any 4 asym,C 2 pen,C 2 pen,3351_2019.jpg
3380,Lemur,Y,1,Y,Y,,B 1 isl,B 2 isl or B fused isl,3380-Lemur-2019.jpg
